source_name,category,priority_rank,url,rss_url,api_endpoint,source_type,jurisdiction,confidence_weight,active,notes,content_expectation,useful_life_days,terms_reviewed,content_source
Google Cloud Security Bulletins,cloud_technology,2,https://cloud.google.com/support/bulletins,https://docs.cloud.google.com/feeds/google-cloud-security-bulletins.xml,,rss,US,0.90,True,Atom 1.0. Confirmed working. cloud.google.com/feeds/... redirects here; use docs.cloud.google.com URL directly.,continuous,14,False,False
Oracle Cloud (OCI) Status,cloud_technology,2,https://ocistatus.oraclecloud.com/,https://ocistatus.oraclecloud.com/api/v2/incident-summary.rss,,rss,GLOBAL,0.90,True,OCI incident summary RSS. Relevant for banks using Oracle Cloud.,continuous,14,False,False
Salesforce Trust Status,cloud_technology,2,https://status.salesforce.com/,,https://api.status.salesforce.com/v1/incidents/active,api,GLOBAL,0.90,True,Salesforce CRM/Service Cloud incidents. /api/v1/incidents returns 403 — updated to api.status.salesforce.com/v1/incidents/active (public API endpoint).,continuous,14,False,False
Zoom Status,cloud_technology,2,https://status.zoom.us/,https://www.zoomstatus.com/history.atom,,rss,GLOBAL,0.88,True,Atom 1.0. Canonical feed moved to zoomstatus.com (status.zoom.us/history.atom 302-redirects here).,continuous,14,False,False
=======
GitHub Status,cloud_technology,1,https://www.githubstatus.com/,https://www.githubstatus.com/history.atom,https://www.githubstatus.com/api/v2/incidents.json,api,GLOBAL,0.92,True,"Atlassian Statuspage. 2026-08-10: migrated from history.atom (RSS) to the statuspage.io JSON incidents API (confirmed live, 50 incidents, real impact field present — 27 minor, 10 critical, 10 major, 3 none in the sampled window) so filter.py's status-page low-impact suppression rule applies, same pattern as Cloudflare Status.",continuous,14,False,False
Google Cloud Status,cloud_technology,1,https://status.cloud.google.com/,https://status.cloud.google.com/en/feed.atom,https://status.cloud.google.com/incidents.json,api,GLOBAL,0.95,True,"GCP global status. 2026-08-10: migrated from Atom to the incidents.json API — NOT Statuspage.io format (custom Google shape: severity low/medium/high/critical + status_impact SERVICE_INFORMATION/SERVICE_DISRUPTION/SERVICE_OUTAGE, confirmed live 2026-08-10). New _parse_gcp_incidents() in api_adapter.py maps these onto the same [Impact: none/minor/major/critical] tag filter.py already suppresses on. Deliberate mapping (not 1:1): SERVICE_INFORMATION->none, SERVICE_OUTAGE->critical, SERVICE_DISRUPTION->major if severity in (high,critical) else minor.",continuous,14,False,False
Microsoft Azure Status,cloud_technology,1,https://azure.status.microsoft/en-us/status,https://azurestatuscdn.azureedge.net/en-us/status/feed/,,rss,GLOBAL,0.95,True,"Azure global service health. Use CDN URL — direct azure.status.microsoft/feed/ unreliable. USS-TJR-MSN-0339 WP1: confirmed live 2026-07-08, valid RSS 2.0, zero <item> elements — this is real, correct content (no active Azure incident right now), not a broken feed. Was previously misreported as failing (MSN-0338 §2/§9).",intermittent,14,False,False
Slack Status,cloud_technology,1,https://status.slack.com/,https://slack-status.com/feed/atom,,rss,GLOBAL,0.90,True,Atom 1.0. Canonical feed moved to slack-status.com (status.slack.com/feed/atom 301-redirects here).,continuous,14,False,False
Atlassian Status,cloud_technology,2,https://status.atlassian.com/,https://status.atlassian.com/history.rss,https://status.atlassian.com/api/v2/incidents.json,api,GLOBAL,0.88,True,"Covers Jira, Confluence, Bitbucket, Trello. Operational tooling dependency. 2026-08-10: migrated from history.rss to the statuspage.io JSON incidents API (confirmed live, 34 incidents, real impact field: 26 none, 6 major, 1 minor, 1 critical) — same pattern as Cloudflare Status.",continuous,14,False,False
AWS Service Health Dashboard,cloud_technology,2,https://status.aws.amazon.com/,https://status.aws.amazon.com/rss/all.rss,,rss,GLOBAL,0.90,True,AWS global + ap-southeast-2 (Sydney) health events.,continuous,14,False,False
Canva Status,cloud_technology,2,https://www.canvastatus.com/,https://www.canvastatus.com/history.atom,https://www.canvastatus.com/api/v2/incidents.json,api,AU,0.85,True,"Atlassian Statuspage. Correct domain is canvastatus.com (not canva-status.com). 2026-08-10: migrated from history.atom to the statuspage.io JSON incidents API (confirmed live, 50 incidents, real impact field: 27 major, 13 minor, 8 critical, 2 none) — same pattern as Cloudflare Status.",continuous,14,False,False
Cloudflare Status,cloud_technology,2,https://www.cloudflarestatus.com/,https://www.cloudflarestatus.com/history.atom,https://www.cloudflarestatus.com/api/v2/incidents.json,api,GLOBAL,0.88,True,CDN/DNS/DDoS protection. Cloudflare outage impacts availability of web-facing services. 2026-08-10: switched from history.atom (RSS) to the statuspage.io JSON incidents API so the feed's real impact (none/minor/major/critical) field reaches filter.py's status-page low-impact suppression rule instead of being discarded.,continuous,14,False,False
DocuSign Status,cloud_technology,2,https://status.docusign.com/,https://status.docusign.com/history.atom,https://status.docusign.com/api/v2/incidents.json,api,GLOBAL,0.88,True,"Atlassian Statuspage. 2026-08-10: migrated from history.atom to the statuspage.io JSON incidents API (confirmed live, 50 incidents, real impact field: 44 minor, 5 none, 1 major) — same pattern as Cloudflare Status.",continuous,14,False,False
Google Cloud Security Bulletins,cloud_technology,2,https://cloud.google.com/support/bulletins,https://docs.cloud.google.com/feeds/google-cloud-security-bulletins.xml,,rss,US,0.90,True,Atom 1.0. Confirmed working. cloud.google.com/feeds/... redirects here; use docs.cloud.google.com URL directly.,continuous,14,False,False
Oracle Cloud (OCI) Status,cloud_technology,2,https://ocistatus.oraclecloud.com/,https://ocistatus.oraclecloud.com/api/v2/incident-summary.rss,,rss,GLOBAL,0.90,True,OCI incident summary RSS. Relevant for banks using Oracle Cloud.,continuous,14,False,False
Salesforce Trust Status,cloud_technology,2,https://status.salesforce.com/,,https://api.status.salesforce.com/v1/incidents/active,api,GLOBAL,0.90,True,Salesforce CRM/Service Cloud incidents. /api/v1/incidents returns 403 — updated to api.status.salesforce.com/v1/incidents/active (public API endpoint).,continuous,14,False,False
Zoom Status,cloud_technology,2,https://status.zoom.us/,https://www.zoomstatus.com/history.atom,https://www.zoomstatus.com/api/v2/incidents.json,api,GLOBAL,0.88,True,"Canonical feed moved to zoomstatus.com (status.zoom.us/history.atom 302-redirects here). 2026-08-10: migrated from history.atom to the statuspage.io JSON incidents API (confirmed live, 50 incidents, real impact field: 36 minor, 14 none) — same pattern as Cloudflare Status.",continuous,14,False,False
>>>>>>> 3f9972f3d831aafb30298d1ef6b714751063906b
Miro Status,cloud_technology,4,https://status.miro.com/,,https://status.miro.com/api/v2/incidents.json,api,GLOBAL,0.78,True,"Powered by incident.io (not Statuspage — no RSS). JSON API returns current status only, no incident history. For real-time polling only.",continuous,14,False,False
ServiceNow Status,cloud_technology,2,https://status.servicenow.com/,,https://status.servicenow.com/api/v2/status.json,api,GLOBAL,0.90,False,ServiceNow ITSM platform status. DNS resolution failing — likely environment issue (test on VM). Keep inactive for now.,continuous,14,False,False
Adobe Status,cloud_technology,4,https://status.adobe.com/,,,scrape,US,0.78,False,Custom status page (not Atlassian Statuspage). No RSS/Atom. Scrape required. Activate when scrape adapter built.,continuous,14,False,False
Okta Status,cloud_technology,4,https://status.okta.com/,,,scrape,US,0.82,False,No public RSS/Atom. Statuspage API returns 401 Unauthorized. Scrape main page or use webhook subscription. Activate when scrape adapter built.,continuous,14,False,False
<<<<<<< HEAD
=======
Anthropic (Claude) Status,cloud_technology,1,https://status.claude.com,https://status.claude.com/history.atom,,rss,GLOBAL,0.90,True,"2026-08-09 gap-closure: anthropic.com/status.anthropic.com redirects here now. Live-verified real feed, real incident content.",continuous,14,False,False
DigitalOcean Status,cloud_technology,3,https://status.digitalocean.com,https://status.digitalocean.com/history.atom,,rss,GLOBAL,0.85,True,2026-08-09 gap-closure. Live-verified real feed.,continuous,14,False,False
Notion Status,cloud_technology,2,https://www.notion-status.com,https://www.notion-status.com/history.atom,,rss,GLOBAL,0.85,True,"2026-08-09 gap-closure: status.notion.so redirects here now. Live-verified real feed, real incident content.",continuous,14,False,False
OpenAI Status,cloud_technology,2,https://status.openai.com,https://status.openai.com/history.atom,,rss,GLOBAL,0.88,True,2026-08-09 gap-closure. Live-verified real feed.,continuous,14,False,False
Supabase Status,cloud_technology,1,https://status.supabase.com,https://status.supabase.com/history.atom,,rss,GLOBAL,0.90,True,2026-08-09 gap-closure: this platform's own database provider. Live-verified real feed.,continuous,14,False,False
Twilio Status,cloud_technology,3,https://status.twilio.com,https://status.twilio.com/history.atom,,rss,GLOBAL,0.85,True,2026-08-09 gap-closure. Live-verified real feed.,continuous,14,False,False
Vercel Status,cloud_technology,1,https://www.vercel-status.com,https://www.vercel-status.com/history.atom,,rss,GLOBAL,0.90,True,2026-08-09 gap-closure: hosts lcars-portal (Vercel deploy on push to main). Live-verified real feed.,continuous,14,False,False
Akamai Status,cloud_technology,2,https://www.akamaistatus.com/,https://www.akamaistatus.com/history.atom,https://www.akamaistatus.com/api/v2/incidents.json,api,GLOBAL,0.88,True,"CDN/edge platform — Akamai outage impacts availability of web-facing services fronted by its network. Statuspage.io JSON incidents API confirmed live 2026-08-10 (HTTP 200, 50 incidents, real impact field: minor=42, none=8 in the sampled window) — registered directly on the api path (same _parse_statuspage_incidents pattern proven for Cloudflare Status), never put on the RSS/Atom variant.",continuous,14,False,False
>>>>>>> 3f9972f3d831aafb30298d1ef6b714751063906b
AEMO NEMweb Market Notices,critical_infrastructure,1,https://www.nemweb.com.au/REPORTS/CURRENT/Market_Notice/,,https://www.nemweb.com.au/REPORTS/CURRENT/Market_Notice/,scrape,AU,0.97,True,"AEMO replacement — NEMweb public directory of NEM market notice files. Official AEMO data dissemination path. HTTP 200 confirmed, real notices visible.",continuous,14,False,False
NBN Network Status,critical_infrastructure,2,https://www.nbnco.com.au/utility/major-significant-local-outages,,,scrape,AU,0.85,True,"USS-TJR-MSN-0339 WP1: switched from /support/network-status (an address-lookup JS SPA — the real per-postcode outage data is fetched client-side and was never in the static HTML, which is why the old URL produced zero real content ever, per MSN-0338 §4) to this page, which is server-rendered and states plainly in its own text either 'There are no current Major or Significant Local outages...' (real, confirmed-quiet — matched by NO_INCIDENT_SENTINEL_PHRASES) or a real outage description when one is active. No RSS or public API exists.",intermittent,14,False,False
NCSC UK Threat Reports,critical_infrastructure,2,https://www.ncsc.gov.uk/section/keep-up-to-date/reports-advisories,https://www.ncsc.gov.uk/api/1/services/v1/report-rss-feed.xml,,rss,GLOBAL,0.92,True,NCSC UK threat intelligence reports. Frequently co-authored with ACSC. Separate from advisories feed.,continuous,14,False,False
Telstra Service Alerts,critical_infrastructure,2,https://www.telstra.com.au/outages,,,scrape,AU,0.85,True,"USS-TJR-MSN-0339 WP1: old URL (crowdsupport.telstra.com.au) has been permanently retired (301 -> telstra.com.au/crowdsupport-retirement) and was producing zero real content for its entire history regardless (its 'alert list' was rendered client-side, never present in static HTML — MSN-0338 §4). Investigated the real successor (this URL): it requires 'Sign in with your Telstra ID' or an address lookup — Telstra publishes no public, unauthenticated, machine-readable outage feed as of this investigation (2026-07-08). The adapter now fails loudly and visibly on this page (AUTH_GATED_SENTINEL_PHRASES) instead of silently degrading or fabricating content. Real Telstra-class outage detection currently relies on the already-registered news sources (ABC/Reuters/etc.), whose classifier already tags 'telstra'/'network outage' keywords — this is a genuine capability gap, not a scraper bug, and any fix (credentialed API, third-party aggregator) is a separate, Captain-scoped decision.",continuous,14,False,False
TPG Telecom Service Status,critical_infrastructure,2,https://status.messaging.tpgtelecom.com.au/,https://status.messaging.tpgtelecom.com.au/history.rss,,rss,AU,0.82,True,TPG/Vodafone/iiNet replacement — official TPG Telecom status page with working RSS feed. Confirmed live.,continuous,14,False,False
<<<<<<< HEAD
AEMO Market Notices,critical_infrastructure,1,https://www.aemo.com.au/market-notices,,,scrape,AU,0.97,False,National Electricity Market operational notices. Scrape page returns 403 (bot detection) — deactivated.,continuous,14,False,False
=======
AEMO Market Notices,critical_infrastructure,1,https://www.aemo.com.au/market-notices,,,scrape,AU,0.97,True,"National Electricity Market operational notices. Scrape page returns 403 (bot detection) — deactivated. CONFIRMED 2026-08-09: firecrawl (headless-browser fetch) bypasses the 403 and returns real, current notices — scrape_adapter.py's plain urllib.request fetch is what gets blocked, not the source itself. Reactivate once the adapter gets a firecrawl-backed fetch path for bot-blocked sources. [REACTIVATED 2026-08-10: real Firecrawl fetch-path capability built (intelligence/ingestion/firecrawl_client.py, calls Firecrawl's REST API directly with FIRECRAWL_API_KEY) — the adapter now tries a plain fetch first and falls back to a real Firecrawl scrape only on HTTP 403, confirmed live bypassing the block. Cadence: once daily via the 06:00 daily_collection_job only — explicitly excluded from the 180-min intraday sweep in intelligence/scheduler.py to stay within the Firecrawl Free-plan 1,000-scrapes/month hard cap (shared across all account usage). See .claude/skills/bot-reviews/fixes-2026-08-09/firecrawl-production-provisioning.md.]",continuous,14,False,False
>>>>>>> 3f9972f3d831aafb30298d1ef6b714751063906b
Optus Network Status,critical_infrastructure,2,https://www.optus.com.au/support/network,,,scrape,AU,0.85,False,Optus outage notifications. Consistently times out (>15s) — deactivated. Monitor for status page URL change.,continuous,14,False,False
TPG Service Status,critical_infrastructure,3,https://status.tpg.com.au/,,,scrape,AU,0.82,False,"TPG/Vodafone/iiNet service status. DNS resolution failed — likely environment issue, keep TPG Telecom replacement active instead.",continuous,14,False,False
APA Group Gas Market Notices,critical_infrastructure,4,https://www.apa.com.au/,,,scrape,AU,0.78,False,No RSS/API. Gas notices also via AEMO Gas Bulletin Board (GBB) — consider AEMO GBB API as primary coverage path. Activate when scrape adapter built.,continuous,14,False,False
Ausgrid Outage Feed,critical_infrastructure,4,https://www.ausgrid.com.au/outages,,,scrape,AU,0.78,False,No public RSS/API. Live outage map (web UI only). Inspect outagetracker.com.au network requests for underlying JSON API. Activate when scrape adapter built.,continuous,14,False,False
AusNet Outage Feed,critical_infrastructure,4,https://www.ausnetservices.com.au/,,,scrape,AU,0.78,False,No public feed. Shared Victorian DNSP portal at outagetracker.com.au may expose JSON API. Inspect network requests there. Activate when scrape adapter built.,continuous,14,False,False
Port of Melbourne,critical_infrastructure,4,https://www.portofmelbourne.com/,,,scrape,AU,0.80,False,"RSS infrastructure confirmed at /rss-feeds/ but bot-blocked on automated fetch. Visit /rss-feeds/ in browser to get per-category feed URLs, then update rss_url + set source_type=rss.",continuous,14,False,False
Cisco Security Advisories,cybersecurity,1,https://tools.cisco.com/security/center/publicationListing.x,https://tools.cisco.com/security/center/psirtrss20ForAllAdvisories.xml,,rss,US,0.92,True,RSS 2.0. All Cisco PSIRT advisories. Canonical tools.cisco.com URL handles redirect internally.,continuous,14,False,False
Fortinet PSIRT Advisories,cybersecurity,1,https://www.fortiguard.com/psirt,https://filestore.fortinet.com/fortiguard/rss/ir.xml,,rss,GLOBAL,0.90,True,RSS 2.0. Confirmed working. CVSS scores up to 9.8. www.fortiguard.com/rss/ir.xml redirects here; use filestore.fortinet.com directly.,continuous,14,False,False
Microsoft Security Response Center,cybersecurity,1,https://msrc.microsoft.com/,,https://api.msrc.microsoft.com/cvrf/v3.0/updates,api,US,0.93,True,OData JSON API. Returns monthly security update releases with CVRF detail links per release. No auth required.,continuous,14,False,False
NVD / NIST CVE Database,cybersecurity,1,https://nvd.nist.gov/,,https://services.nvd.nist.gov/rest/json/cves/2.0,api,US,0.95,True,"JSON REST API v2. Returns CVE records. Rate-limited; no key required for low volume. Params: pubStartDate, cvssV3Severity, resultsPerPage (max 2000).",continuous,14,False,False
Palo Alto Networks Security Advisories,cybersecurity,2,https://security.paloaltonetworks.com/,https://security.paloaltonetworks.com/rss.xml,,rss,US,0.90,True,"RSS 2.0 with Atom namespace. Confirmed working. Covers PAN-OS, GlobalProtect, Prisma Access. Severity LOW–CRITICAL.",continuous,14,False,False
SANS Internet Storm Center,cybersecurity,2,https://isc.sans.edu/,https://isc.sans.edu/rssfeed.xml,,rss,US,0.88,True,"RSS 2.0. Confirmed working. Diary entries, malware analyses, vulnerability discussions. InfoCON threat level embedded.",continuous,14,False,False
NCSC New Zealand Alerts,cybersecurity,2,https://www.ncsc.govt.nz/alerts/,,,scrape,NZ,0.88,False,No RSS/Atom feed. Email subscription only. Scrape /alerts/ page. Activate when scrape adapter built.,continuous,14,False,False
Singapore CSA Advisories,cybersecurity,2,https://www.csa.gov.sg/alerts-advisories,,,scrape,SG,0.85,False,No machine-readable feed. Scrape /alerts-advisories page. Activate when scrape adapter built.,continuous,14,False,False
CISC — Critical Infrastructure Security Centre,cybersecurity,3,https://www.cisc.gov.au/,,,scrape,AU,0.88,False,403 Forbidden on automated fetch (Cloudflare-protected). Requires browser automation or whitelisted IP. Activate when scrape adapter built.,continuous,14,False,False
VMware / Broadcom Security Advisories,cybersecurity,3,https://support.broadcom.com/web/ecx/security-advisory,,,scrape,US,0.82,False,No RSS/Atom feed (old vmware.com RSS retired). Scrape Broadcom TechDocs portal. Activate when scrape adapter built.,continuous,14,False,False
VicEmergency,emergency_management,1,https://www.emergency.vic.gov.au/,,https://data.emergency.vic.gov.au/Show?pageId=getIncidentJSON,api,AU,0.93,True,Victoria emergency incidents. Original OSOM API 404 — replaced with EMV data.emergency.vic.gov.au JSON feed. Confirmed live with real incidents.,continuous,14,False,False
Weatherzone Warnings,emergency_management,1,https://www.weatherzone.com.au/warnings,,,scrape,AU,0.88,True,"BOM replacement — Weatherzone aggregates official BOM-issued warning texts for all states. No auth, HTTP 200 confirmed.",continuous,14,False,False
CFA Warnings & Incidents,emergency_management,2,https://www.cfa.vic.gov.au/warnings-restrictions,,,scrape,AU,0.92,True,Victorian bushfire and grassfire warnings. RSS feed returns malformed XML — switched to scrape.,continuous,14,False,False
Geoscience Australia Earthquakes,emergency_management,2,https://earthquakes.ga.gov.au/,,https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/2.5_day.geojson,api,AU,0.95,True,"Seismic events M2.5+. GA API returned empty responses — switched to USGS GeoJSON feed (covers Australia, globally authoritative).",continuous,14,False,False
Bureau of Meteorology Warnings,emergency_management,1,https://www.bom.gov.au/australia/warnings/,https://www.bom.gov.au/fwo/IDZ00059.xml,,rss,AU,0.95,False,Severe weather warnings. All BOM feed/page URLs return 403 (bot detection active) — deactivated.,continuous,14,False,False
NSW SES,emergency_management,1,https://www.ses.nsw.gov.au/news/,,,scrape,AU,0.93,False,"NSW floods, storms, rescues. [DEACTIVATED] SSL certificate verify failed — likely environment issue, investigate on VM.",continuous,14,False,False
National Emergency Management Agency (NEMA),emergency_management,4,https://www.nema.gov.au/,,,scrape,AU,0.82,False,No RSS feed. Site timed out on all fetch attempts. Requires headless browser. Activate when scrape adapter built.,continuous,14,False,False
VIC SES,emergency_management,4,https://www.ses.vic.gov.au/,,,scrape,AU,0.82,False,No RSS (/rss.xml 404). Scrape /news page. For emergency warnings also see VicEmergency API (already in registry). Activate when scrape adapter built.,continuous,14,False,False
ABC News,media,4,https://www.abc.net.au/news/,https://www.abc.net.au/news/feed/51120/rss.xml,,rss,AU,0.78,True,ABC News Australia — business and technology section.,continuous,14,False,False
ABC News Business,media,4,https://www.abc.net.au/news/business/,https://www.abc.net.au/news/feed/104217374/rss.xml,,rss,AU,0.80,True,AFR replacement — ABC News Business section. Authoritative Australian business/banking/regulatory coverage. No paywall. RSS confirmed live.,continuous,14,False,False
BBC News,media,4,https://www.bbc.com/news/,http://feeds.bbci.co.uk/news/world/rss.xml,,rss,GLOBAL,0.78,True,BBC World News. Geopolitical context and global disruption events.,continuous,14,False,False
Bloomberg,media,4,https://www.bloomberg.com/,https://feeds.bloomberg.com/markets/news.rss,,rss,GLOBAL,0.82,True,Bloomberg markets feed. Good for financial system stress signals.,continuous,14,False,False
Financial Newswire,media,4,https://financialnewswire.com.au/,https://financialnewswire.com.au/feed/,,rss,AU,0.78,True,"Australian financial services industry news. Covers banking, super, regulation. Free RSS feed confirmed live.",continuous,14,False,False
Financial Times,media,4,https://www.ft.com/,https://www.ft.com/rss/home/uk,,rss,GLOBAL,0.83,True,Financial Times. Banking regulation and systemic risk reporting.,continuous,14,False,False
Guardian Australia,media,4,https://www.theguardian.com/australia-news,https://www.theguardian.com/australia-news/rss,,rss,AU,0.78,True,"Guardian Australia — no paywall, strong Australian political/regulatory/business coverage. RSS confirmed live.",continuous,14,False,False
AP News Business,media,4,https://apnews.com/business,https://feeds.apnews.com/rss/apf-business,,rss,GLOBAL,0.80,False,AP News feed DNS resolution failed — feeds.apnews.com retired. Use Financial Times + BBC News replacements.,continuous,14,False,False
Australian Financial Review,media,4,https://www.afr.com/,https://www.afr.com/rss,,rss,AU,0.82,False,AFR — Australian financial and business news. URL 404 / paywall blocking. Use ABC News Business replacement.,continuous,14,False,False
Reuters,media,4,https://www.reuters.com/,https://feeds.reuters.com/reuters/businessNews,,rss,GLOBAL,0.80,False,Reuters business news. DNS resolution failed — Reuters removed public RSS feeds. Use Financial Times + BBC News replacements.,continuous,14,False,False
ACSC Advisories,regulatory,1,https://www.cyber.gov.au/about-us/view-all-content/advisories,https://www.cyber.gov.au/rss/advisories,,rss,AU,0.95,True,ASD/ACSC cyber security advisories (broader than alerts). Official RSS feed confirmed live.,continuous,14,False,False
ACSC Alerts & Advisories,regulatory,1,https://www.cyber.gov.au/about-us/view-all-content/alerts-and-advisories,https://www.cyber.gov.au/rss/alerts,,rss,AU,0.97,True,ASD/ACSC critical cyber security alerts. Scrape times out but official RSS feed at /rss/alerts is live.,continuous,14,False,False
APRA Consultations,regulatory,1,https://www.apra.gov.au/consultations,,,scrape,AU,0.95,True,Open consultation papers. Leading indicator for regulatory change.,continuous,14,False,False
APRA Media Releases,regulatory,1,https://www.apra.gov.au/news-and-publications,,,scrape,AU,0.97,True,Primary APRA regulatory announcements. No RSS. Scrape news listing.,continuous,14,False,False
APRA Publications,regulatory,1,https://www.apra.gov.au/publications,,,scrape,AU,0.97,True,"Consultation papers, information papers, prudential standards. CPS 230 primary source.",continuous,14,False,False
ASD Publications,regulatory,1,https://www.asd.gov.au/publications,,,scrape,AU,0.97,True,Australian Signals Directorate publications and threat reports.,continuous,14,False,False
ASIC Enforcement Activity,regulatory,1,https://asic.gov.au/about-asic/news-centre/find-a-media-release/?query=&filter=enforcement,,,scrape,AU,0.95,True,ASIC enforcement actions. Peer bank exposure signal.,continuous,14,False,False
ASIC News Centre,regulatory,1,https://asic.gov.au/about-asic/news-centre/,,,scrape,AU,0.97,True,"Regulatory actions, enforcement, market integrity notices.",continuous,14,False,False
<<<<<<< HEAD
=======
ACMA Media Releases,regulatory,1,https://www.acma.gov.au/media-releases,,,scrape,AU,0.90,False,"Australian Communications and Media Authority — telecom/broadcast/spectrum regulator. Already Tier-1 in source_tier.py's domain-authority table (acma.gov.au) but had zero presence in this registry until 2026-08-10. No RSS/API found (WebSearch confirmed no public feed, subscription-newsletter only) — scrape required, same pattern as ASIC/APRA. Registered inactive: this sandbox's network cannot reach acma.gov.au at all (TLS handshake completes then the connection hangs/times out — HTTP 000, not a 403 — consistent with other Akamai/CDN-fronted .gov.au sources already flagged as environment issues in this registry, e.g. RBA, NSW SES). Activate after a real fetch attempt from the production VM confirms reachability and page structure.",continuous,14,False,False
>>>>>>> 3f9972f3d831aafb30298d1ef6b714751063906b
OAIC Breach Notifications,regulatory,1,https://www.oaic.gov.au/privacy/notifiable-data-breaches,,,scrape,AU,0.95,True,Office of the Australian Information Commissioner. Data breach reports.,continuous,14,False,False
BIS Press Releases,regulatory,2,https://www.bis.org/press/,https://www.bis.org/doclist/all_pressrels.rss,,rss,GLOBAL,0.92,True,"Bank for International Settlements — Basel Committee, CPMI, BCBS prudential standards.",continuous,14,False,False
